Subject,Passages,Condition,Difficult,Booklet,Sen_num,num_Probs,RT,RT_out,MW,Com_Score,MW_x_Dif
1,4,Easy,0,1,2,4,2657,2657,0,1,0
1,1,Difficult,1,1,1,7,2687,2687,1,1,1
1,6,Easy,0,1,3,4,3146,3146,0,1,0
1,1,Difficult,1,1,1,7,3849,3849,0,1,0
1,5,Difficult,1,1,2,5,3852,3852,0,1,0
1,4,Easy,0,1,2,4,3963,3963,1,1,0
1,2,Easy,0,1,1,4,4322,4322,0,0,0
1,1,Difficult,1,1,1,7,4505,4505,0,1,0
1,7,Difficult,1,1,3,4,4523,4523,0,1,0
1,7,Difficult,1,1,4,4,4679,4679,0,1,0
1,2,Easy,0,1,1,4,4759,4759,0,0,0
1,5,Difficult,1,1,2,5,4828,4828,0,1,0
1,5,Difficult,1,1,2,5,6001,6001,0,1,0
1,6,Easy,0,1,3,4,6054,6054,0,1,0
1,6,Easy,0,1,3,4,6209,6209,0,0,0
1,6,Easy,0,1,3,4,6254,6254,0,0,0
1,3,Difficult,1,1,1,4,6306,6306,0,1,0
1,4,Easy,0,1,2,4,6775,6775,0,0,0
1,1,Difficult,1,1,1,7,7062,7062,0,1,0
1,3,Difficult,1,1,1,4,7571,7571,0,0,0
1,8,Easy,0,1,5,4,8753,8753,0,1,0
1,8,Easy,0,1,7,4,8937,8937,0,0,0
1,1,Difficult,1,1,1,7,10427,10427,1,0,1
1,1,Difficult,1,1,1,7,10548,10548,0,0,0
1,4,Easy,0,1,2,4,12857,12857,0,1,0
1,1,Difficult,1,1,1,7,13738,13738,0,0,0
1,8,Easy,0,1,6,4,16783,16783,0,0,0
2,4,Difficult,1,2,2,4,2944,2944,1,1,1
2,6,Difficult,1,2,3,4,3240,3240,1,0,1
2,1,Easy,0,2,1,7,3401,3401,1,0,0
2,4,Difficult,1,2,2,4,3546,3546,1,0,1
2,1,Easy,0,2,1,7,3609,3609,1,0,0
2,5,Easy,0,2,2,3,3680,3680,0,0,0
2,6,Difficult,1,2,3,4,4076,4076,1,1,1
2,4,Difficult,1,2,2,4,4151,4151,1,1,1
2,1,Easy,0,2,1,7,4233,4233,1,0,0
2,7,Easy,0,2,3,2,4476,4476,0,0,0
2,4,Difficult,1,2,2,4,4710,4710,1,0,1
2,1,Easy,0,2,1,7,4975,4975,1,0,0
2,8,Difficult,1,2,6,3,5379,5379,1,0,1
2,6,Difficult,1,2,3,4,5960,5960,1,1,1
2,2,Difficult,1,2,1,2,6424,6424,0,1,0
2,5,Easy,0,2,3,3,6744,6744,1,0,0
2,1,Easy,0,2,1,7,7110,7110,1,1,0
2,2,Difficult,1,2,1,2,7289,7289,0,0,0
2,3,Easy,0,2,2,2,7311,7311,1,1,0
2,6,Difficult,1,2,3,4,7694,7694,0,1,0
2,8,Difficult,1,2,5,3,7909,7909,0,1,0
2,1,Easy,0,2,1,7,7936,7936,1,1,0
2,5,Easy,0,2,2,3,9241,9241,0,0,0
2,1,Easy,0,2,1,7,11175,11175,1,0,0
2,8,Difficult,1,2,7,3,11929,11929,1,0,1
2,3,Easy,0,2,2,2,13831,13831,1,1,0
2,7,Easy,0,2,4,2,23848,23848,0,1,0
3,1,Difficult,1,1,1,7,2877,2877,0,1,0
3,1,Difficult,1,1,1,7,3686,3686,0,1,0
3,1,Difficult,1,1,1,7,4101,4101,0,1,0
3,6,Easy,0,1,3,4,4103,4103,0,1,0
3,2,Easy,0,1,2,4,4644,4644,1,1,0
3,1,Difficult,1,1,1,7,5103,5103,0,1,0
3,3,Difficult,1,1,2,4,5805,5805,1,1,1
3,4,Easy,0,1,2,4,6631,6631,0,0,0
3,6,Easy,0,1,3,4,7304,7304,0,0,0
3,8,Easy,0,1,1,4,7647,7647,1,0,0
3,1,Difficult,1,1,1,7,8387,8387,0,1,0
3,3,Difficult,1,1,2,4,8663,8663,1,1,1
3,5,Difficult,1,1,3,5,9403,9403,1,0,1
3,7,Difficult,1,1,5,4,10234,10234,0,1,0
3,1,Difficult,1,1,1,7,10324,10324,0,1,0
3,4,Easy,0,1,2,4,10353,10353,0,1,0
3,6,Easy,0,1,3,4,11010,11010,1,1,0
3,2,Easy,0,1,1,4,12663,12663,0,0,0
3,5,Difficult,1,1,3,5,14442,14442,1,1,1
3,8,Easy,0,1,2,4,14961,14961,0,0,0
3,8,Easy,0,1,7,4,15029,15029,0,0,0
3,1,Difficult,1,1,1,7,15453,15453,1,0,1
3,4,Easy,0,1,2,4,15505,15505,0,1,0
3,7,Difficult,1,1,6,4,16773,16773,0,0,0
3,6,Easy,0,1,4,4,25595,25595,0,1,0
3,5,Difficult,1,1,2,5,32280,32280,0,0,0
3,4,Easy,0,1,2,4,39221,37427,0,1,0
4,4,Difficult,1,2,2,4,2896,2896,0,1,0
4,1,Easy,0,2,1,7,3351,3351,1,1,0
4,1,Easy,0,2,1,7,4401,4401,0,1,0
4,1,Easy,0,2,1,7,4402,4402,0,0,0
4,5,Easy,0,2,2,3,4508,4508,0,0,0
4,4,Difficult,1,2,2,4,4601,4601,0,0,0
4,6,Difficult,1,2,3,4,4942,4942,0,1,0
4,7,Easy,0,2,5,2,5742,5742,0,1,0
4,8,Difficult,1,2,1,3,5928,5928,0,1,0
4,4,Difficult,1,2,2,4,6207,6207,0,1,0
4,5,Easy,0,2,3,3,6229,6229,0,1,0
4,8,Difficult,1,2,2,3,6229,6229,0,0,0
4,1,Easy,0,2,1,7,6843,6843,0,1,0
4,1,Easy,0,2,1,7,7353,7353,0,0,0
4,1,Easy,0,2,1,7,7398,7398,0,0,0
4,2,Difficult,1,2,1,2,7538,7538,0,0,0
4,2,Difficult,1,2,2,2,9079,9079,0,1,0
4,7,Easy,0,2,6,2,10492,10492,0,0,0
4,8,Difficult,1,2,7,3,10809,10809,1,0,1
4,3,Easy,0,2,2,2,10905,10905,0,0,0
4,4,Difficult,1,2,2,4,11253,11253,0,0,0
4,5,Easy,0,2,3,3,11780,11780,0,1,0
4,6,Difficult,1,2,3,4,12197,12197,0,0,0
4,6,Difficult,1,2,4,4,13875,13875,0,1,0
4,6,Difficult,1,2,3,4,14779,14779,0,1,0
4,1,Easy,0,2,1,7,16541,16541,0,1,0
4,3,Easy,0,2,2,2,23172,23172,0,0,0
5,2,Easy,0,1,2,4,3983,3983,1,1,0
5,4,Easy,0,1,2,4,4078,4078,0,0,0
5,1,Difficult,1,1,1,7,4731,4731,0,0,0
5,1,Difficult,1,1,1,7,4957,4957,0,1,0
5,2,Easy,0,1,1,4,4973,4973,0,0,0
5,4,Easy,0,1,2,4,5390,5390,0,0,0
5,6,Easy,0,1,3,4,5827,5827,1,1,0
5,1,Difficult,1,1,1,7,5899,5899,0,0,0
5,5,Difficult,1,1,3,5,5923,5923,1,1,1
5,6,Easy,0,1,3,4,6035,6035,0,1,0
5,5,Difficult,1,1,2,5,6285,6285,0,1,0
5,6,Easy,0,1,4,4,6335,6335,0,1,0
5,1,Difficult,1,1,1,7,6453,6453,1,1,1
5,3,Difficult,1,1,2,4,6461,6461,1,0,1
5,1,Difficult,1,1,1,7,6851,6851,0,1,0
5,8,Easy,0,1,1,4,7217,7217,0,1,0
5,4,Easy,0,1,2,4,8514,8514,0,1,0
5,6,Easy,0,1,3,4,8697,8697,0,0,0
5,1,Difficult,1,1,1,7,9113,9113,0,0,0
5,4,Easy,0,1,2,4,9330,9330,0,0,0
5,1,Difficult,1,1,1,7,10566,10566,0,1,0
5,7,Difficult,1,1,6,4,11518,11518,0,0,0
5,5,Difficult,1,1,3,5,13632,13632,1,0,1
5,7,Difficult,1,1,5,4,15110,15110,0,1,0
5,8,Easy,0,1,2,4,15653,15653,0,1,0
5,3,Difficult,1,1,2,4,16793,16793,1,0,1
5,8,Easy,0,1,7,4,18400,18400,1,0,0
6,5,Easy,0,2,2,3,5095,5095,0,0,0
6,1,Easy,0,2,1,7,5123,5123,1,0,0
6,6,Difficult,1,2,3,4,5146,5146,0,0,0
6,1,Easy,0,2,1,7,5731,5731,1,0,0
6,1,Easy,0,2,1,7,5849,5849,1,1,0
6,2,Difficult,1,2,1,2,5993,5993,0,1,0
6,3,Easy,0,2,2,2,6124,6124,1,1,0
6,6,Difficult,1,2,4,4,6190,6190,1,1,1
6,8,Difficult,1,2,7,3,6805,6805,1,0,1
6,1,Easy,0,2,1,7,7169,7169,0,0,0
6,4,Difficult,1,2,2,4,7287,7287,0,1,0
6,7,Easy,0,2,6,2,7307,7307,0,0,0
6,4,Difficult,1,2,2,4,7432,7432,1,0,1
6,7,Easy,0,2,5,2,8609,8609,0,1,0
6,5,Easy,0,2,3,3,8701,8701,1,0,0
6,6,Difficult,1,2,3,4,9150,9150,0,0,0
6,4,Difficult,1,2,2,4,9249,9249,1,1,1
6,8,Difficult,1,2,1,3,9286,9286,0,0,0
6,6,Difficult,1,2,3,4,10272,10272,0,1,0
6,1,Easy,0,2,1,7,10606,10606,0,1,0
6,1,Easy,0,2,1,7,10641,10641,0,0,0
6,5,Easy,0,2,3,3,10978,10978,1,0,0
6,2,Difficult,1,2,2,2,11994,11994,1,1,1
6,8,Difficult,1,2,2,3,12059,12059,0,1,0
6,4,Difficult,1,2,2,4,12639,12639,0,0,0
6,3,Easy,0,2,2,2,14451,14451,1,0,0
6,1,Easy,0,2,1,7,15879,15879,1,0,0
7,5,Difficult,1,1,3,5,3548,3548,0,1,0
7,4,Easy,0,1,2,4,3685,3685,0,1,0
7,4,Easy,0,1,2,4,4218,4218,0,0,0
7,6,Easy,0,1,3,4,4609,4609,0,1,0
7,1,Difficult,1,1,1,7,5917,5917,0,0,0
7,2,Easy,0,1,1,4,5941,5941,0,0,0
7,1,Difficult,1,1,1,7,6113,6113,0,1,0
7,3,Difficult,1,1,2,4,6117,6117,0,1,0
7,1,Difficult,1,1,1,7,6356,6356,0,1,0
7,1,Difficult,1,1,1,7,6389,6389,0,1,0
7,4,Easy,0,1,2,4,6395,6395,0,1,0
7,5,Difficult,1,1,2,5,6533,6533,0,1,0
7,5,Difficult,1,1,3,5,7545,7545,0,1,0
7,7,Difficult,1,1,5,4,7966,7966,0,1,0
7,7,Difficult,1,1,6,4,8578,8578,0,0,0
7,6,Easy,0,1,3,4,8935,8935,0,1,0
7,1,Difficult,1,1,1,7,8971,8971,0,1,0
7,1,Difficult,1,1,1,7,9340,9340,0,1,0
7,2,Easy,0,1,2,4,9380,9380,1,0,0
7,8,Easy,0,1,1,4,9424,9424,0,1,0
7,8,Easy,0,1,7,4,9524,9524,0,0,0
7,1,Difficult,1,1,1,7,10185,10185,0,0,0
7,8,Easy,0,1,2,4,12285,12285,0,1,0
7,3,Difficult,1,1,2,4,15951,15951,0,1,0
7,4,Easy,0,1,2,4,16619,16619,0,1,0
7,6,Easy,0,1,3,4,21049,21049,0,1,0
7,6,Easy,0,1,4,4,67740,37427,0,1,0
