,Subject,part_condition,Passages,trial_difficulty,RT,answers,QuestionNum,MW,Gender,ImplicitWP,MindwanderTheory,Chronotype,ChronotypePM,ChronotypeAM,ChronotypeC,MindwanderTheoryC,ImplicitWP_C,RT_wind_Z,RT_wind
1,16,cond1,1,Hard,2002.475,0,1.1,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.849545852,2002.475
2,16,cond1,1,Hard,1976.13,0,1.2,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.854272224,1976.13
3,16,cond1,1,Hard,2332.64,0,1.3,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.790313271,2332.64
4,16,cond1,1,Hard,1593.39,1,1.4,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.922936917,1593.39
5,16,cond1,1,Hard,1975.805,0,1.5,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.85433053,1975.805
6,16,cond1,1,Hard,2398.455,0,1.6,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.778505864,2398.455
7,16,cond1,1,Hard,2417.97,0,1.7,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.775004815,2417.97
8,16,cond1,2,Easy,2229.615,1,2.1,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.808796262,2229.615
9,16,cond1,2,Easy,1928.09,0,2.2,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.862890742,1928.09
10,16,cond1,3,Hard,2251.91,1,3.1,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.804796472,2251.91
11,16,cond1,3,Hard,2312.81,0,3.2,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.793870832,2312.81
12,16,cond1,4,Easy,2164.725,0,4.1,0,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.82043772,2164.725
13,16,cond1,4,Easy,2042.255,0,4.2,NA,other,22,19,16,7.102679054,-0.030215286,3.536231884,-2.140625,-1.590909091,-0.842409202,2042.255
