"Condition_Num","booklet","correct","correct_response","passage","response","response_time","total_response_time"
"2","2","undefined","NA","1","space","1535","51340"
"2","2","undefined","NA","1","space","3646","54986"
"2","2","undefined","NA","1","space","8836","63822"
"2","2","undefined","NA","1","n","3227","67049"
"2","2","undefined","NA","1","space","16620","83669"
"2","2","undefined","NA","1","n","2858","86527"
"2","2","undefined","NA","1","space","4559","91086"
"2","2","undefined","NA","1","space","3458","94544"
"2","2","undefined","NA","1","space","4712","99256"
"2","2","undefined","NA","1","space","4591","103847"
"2","2","undefined","NA","1","space","3398","107245"
"2","2","undefined","NA","1","space","4254","111499"
"2","2","undefined","NA","1","space","7070","118569"
"2","2","undefined","NA","1","space","5802","124371"
"2","2","undefined","NA","1","space","1854","126225"
"2","2","undefined","NA","1","space","2721","128946"
"2","2","undefined","NA","1","space","3375","132321"
"2","2","undefined","NA","1","space","4697","137018"
"2","2","undefined","NA","1","space","2789","139807"
"2","2","undefined","NA","1","space","5509","145316"
"2","2","undefined","NA","1","space","1702","147018"
"2","2","undefined","NA","1","space","2482","149500"
"2","2","undefined","NA","1","space","2084","151584"
"2","2","undefined","NA","1","space","4533","156117"
"2","2","undefined","NA","1","space","5138","161255"
"2","2","undefined","NA","1","space","2712","163967"
"2","2","undefined","NA","1","space","3416","167383"
"2","2","undefined","NA","1","y","2557","169940"
"2","2","undefined","NA","1","space","3277","173217"
"2","2","undefined","NA","1","space","17268","190485"
"2","2","undefined","NA","1","y","2572","193057"
"2","2","undefined","NA","1","space","7750","200807"
"2","2","undefined","NA","1","n","3067","203874"
"2","2","undefined","NA","1","space","6368","210242"
"2","2","undefined","NA","1","n","1547","211789"
"2","2","undefined","NA","1","space","1565","213354"
"2","2","undefined","NA","1","space","3262","216616"
"2","2","undefined","NA","1","space","2913","219529"
"2","2","undefined","NA","1","space","4793","224322"
"2","2","undefined","NA","1","space","1793","226115"
"2","2","undefined","NA","1","space","5273","231388"
"2","2","undefined","NA","1","space","2498","233886"
"2","2","undefined","NA","1","space","3060","236946"
"2","2","undefined","NA","1","space","4036","240982"
"2","2","undefined","NA","1","space","5167","246149"
"2","2","undefined","NA","1","space","9245","255394"
"2","2","undefined","NA","1","n","3914","259308"
"","","0","b","1","c","22971","293757"
"","","1","a","1","a","17664","311421"
"","","1","e","1","e","8073","319494"
"","","0","c","1","a","28064","347558"
"","","1","b","1","b","20430","367988"
"","","0","e","1","c","12447","380435"
"","","0","b","1","a","32480","412915"
"","","0","a","1","b","14196","427111"
"1","2","0","a","2","space","2523","429634"
"1","2","0","a","2","space","6689","436323"
"1","2","0","a","2","space","2851","439174"
"1","2","0","a","2","space","3057","442231"
"1","2","0","a","2","space","4255","446486"
"1","2","0","a","2","space","4669","451155"
"1","2","0","a","2","space","5040","456195"
"1","2","0","a","2","space","7051","463246"
"1","2","0","a","2","space","4818","468064"
"1","2","0","a","2","y","2553","470617"
"1","2","0","a","2","space","3748","474365"
"1","2","0","a","2","space","6313","480678"
"1","2","0","a","2","space","6639","487317"
"1","2","0","a","2","n","2026","489343"
"1","2","0","a","2","space","3862","493205"
"","","1","c","2","c","10263","509393"
"","","0","d","2","b","22277","531670"
"","","1","d","2","d","3780","535450"
"","","1","e","2","e","7264","542714"
"2","2","0","e","3","space","1517","544231"
"2","2","0","e","3","space","3215","547446"
"2","2","0","e","3","space","2692","550138"
"2","2","0","e","3","space","6383","556521"
"2","2","0","e","3","space","6625","563146"
"2","2","0","e","3","space","7040","570186"
"2","2","0","e","3","space","1955","572141"
"2","2","0","e","3","space","7975","580116"
"2","2","0","e","3","n","1755","581871"
"2","2","0","e","3","space","10838","592709"
"2","2","0","e","3","space","3824","596533"
"2","2","0","e","3","space","8878","605411"
"2","2","0","e","3","space","11328","616739"
"2","2","0","e","3","n","2010","618749"
"","","1","c","3","c","7928","631770"
"","","0","d","3","a","27211","658981"
"","","0","c","3","e","18800","677781"
"","","1","e","3","e","5992","683773"
"1","2","0","e","4","space","986","684759"
"1","2","0","e","4","space","10494","695253"
"1","2","0","e","4","space","9246","704499"
"1","2","0","e","4","space","1236","705735"
"1","2","0","e","4","space","899","706634"
"1","2","0","e","4","space","2132","708766"
"1","2","0","e","4","space","4323","713089"
"1","2","0","e","4","space","2833","715922"
"1","2","0","e","4","space","5232","721154"
"1","2","0","e","4","n","4218","725372"
"1","2","0","e","4","space","14824","740196"
"1","2","0","e","4","y","1898","742094"
"1","2","0","e","4","space","6839","748933"
"1","2","0","e","4","n","1722","750655"
"1","2","0","e","4","space","2823","753478"
"1","2","0","e","4","n","1162","754640"
"1","2","0","e","4","space","3904","758544"
"1","2","0","e","4","space","14435","772979"
"","","1","b","4","b","5691","782850"
"","","0","a","4","e","5632","788482"
"","","0","a","4","e","10409","798891"
"","","0","d","4","a","10175","809066"
"2","2","0","d","5","space","1591","810657"
