"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"1","1","undefined","NA","1","space","1453"
"1","1","undefined","NA","1","space","7684"
"1","1","undefined","NA","1","space","10538"
"1","1","undefined","NA","1","n","2569"
"1","1","undefined","NA","1","space","14218"
"1","1","undefined","NA","1","y","4089"
"1","1","undefined","NA","1","space","114"
"1","1","undefined","NA","1","space","7665"
"1","1","undefined","NA","1","space","7607"
"1","1","undefined","NA","1","space","8701"
"1","1","undefined","NA","1","space","5333"
"1","1","undefined","NA","1","space","5627"
"1","1","undefined","NA","1","space","5205"
"1","1","undefined","NA","1","space","3072"
"1","1","undefined","NA","1","space","6076"
"1","1","undefined","NA","1","space","10346"
"1","1","undefined","NA","1","space","5776"
"1","1","undefined","NA","1","space","5223"
"1","1","undefined","NA","1","space","9193"
"1","1","undefined","NA","1","space","2161"
"1","1","undefined","NA","1","space","6199"
"1","1","undefined","NA","1","n","1995"
"1","1","undefined","NA","1","space","3981"
"1","1","undefined","NA","1","space","7335"
"1","1","undefined","NA","1","y","2361"
"1","1","undefined","NA","1","space","5865"
"1","1","undefined","NA","1","y","2186"
"1","1","undefined","NA","1","space","10268"
"1","1","undefined","NA","1","n","1802"
"1","1","undefined","NA","1","space","3701"
"1","1","undefined","NA","1","space","3621"
"1","1","undefined","NA","1","space","6876"
"1","1","undefined","NA","1","space","3967"
"1","1","undefined","NA","1","space","4550"
"1","1","undefined","NA","1","space","5909"
"1","1","undefined","NA","1","space","13447"
"1","1","undefined","NA","1","space","6167"
"1","1","undefined","NA","1","n","1627"
"","","0","b","1","c","13543"
"","","1","a","1","a","5759"
"","","1","e","1","e","4675"
"","","1","c","1","c","15262"
"","","1","b","1","b","9118"
"","","1","e","1","e","11902"
"","","0","b","1","d","32756"
"","","0","a","1","b","29055"
"2","1","0","a","2","space","1342"
"2","1","0","a","2","space","7370"
"2","1","0","a","2","space","6199"
"2","1","0","a","2","space","9029"
"2","1","0","a","2","space","5285"
"2","1","0","a","2","space","2008"
"2","1","0","a","2","space","1905"
"2","1","0","a","2","space","4999"
"2","1","0","a","2","space","3375"
"2","1","0","a","2","n","1799"
"2","1","0","a","2","space","1506"
"2","1","0","a","2","space","4577"
"2","1","0","a","2","space","8990"
"2","1","0","a","2","n","1257"
"2","1","0","a","2","space","21877"
"","","0","c","2","a","10631"
"","","1","d","2","d","14334"
"","","0","d","2","a","7508"
"","","1","e","2","e","10311"
"1","1","0","e","3","space","748"
"1","1","0","e","3","space","3731"
"1","1","0","e","3","space","5735"
"1","1","0","e","3","space","5134"
"1","1","0","e","3","space","10805"
"1","1","0","e","3","space","6524"
"1","1","0","e","3","y","1643"
"1","1","0","e","3","space","106"
"1","1","0","e","3","space","7956"
"1","1","0","e","3","space","7895"
"1","1","0","e","3","space","6411"
"1","1","0","e","3","n","1690"
"","","0","c","3","a","17481"
"","","1","d","3","d","24153"
"","","1","c","3","c","12350"
"","","1","e","3","e","11607"
"2","1","0","e","4","space","855"
"2","1","0","e","4","space","7639"
"2","1","0","e","4","space","2498"
"2","1","0","e","4","space","7093"
"2","1","0","e","4","space","4352"
"2","1","0","e","4","space","2880"
"2","1","0","e","4","space","4590"
"2","1","0","e","4","space","6923"
"2","1","0","e","4","y","2010"
"2","1","0","e","4","space","188"
"2","1","0","e","4","y","1930"
"2","1","0","e","4","space","3521"
"2","1","0","e","4","space","8916"
"2","1","0","e","4","y","1386"
"2","1","0","e","4","space","4851"
"2","1","0","e","4","n","1754"
"2","1","0","e","4","space","5875"
"2","1","0","e","4","space","5636"
"","","1","b","4","b","4730"
"","","1","a","4","a","8286"
"","","1","a","4","a","8481"
