"Condition_Num","booklet","correct","correct_response","passage","response","response_time","total_response_time"
"1","1","undefined","NA","1","space","705","10239"
"1","1","undefined","NA","1","space","4982","15221"
"1","1","undefined","NA","1","space","7558","22779"
"1","1","undefined","NA","1","y","2347","25126"
"1","1","undefined","NA","1","space","17543","42669"
"1","1","undefined","NA","1","n","2397","45066"
"1","1","undefined","NA","1","space","9302","54368"
"1","1","undefined","NA","1","space","7666","62034"
"1","1","undefined","NA","1","space","5345","67379"
"1","1","undefined","NA","1","space","8704","76083"
"1","1","undefined","NA","1","space","3317","79400"
"1","1","undefined","NA","1","space","564","79964"
"1","1","undefined","NA","1","space","420","80384"
"1","1","undefined","NA","1","space","2137","82521"
"1","1","undefined","NA","1","space","37","82558"
"1","1","undefined","NA","1","space","93","82651"
"1","1","undefined","NA","1","space","567","83218"
"1","1","undefined","NA","1","space","231","83449"
"1","1","undefined","NA","1","space","192","83641"
"1","1","undefined","NA","1","space","359","84000"
"1","1","undefined","NA","1","space","216","84216"
"1","1","undefined","NA","1","n","1627","85843"
"1","1","undefined","NA","1","space","2887","88730"
"1","1","undefined","NA","1","space","423","89153"
"1","1","undefined","NA","1","n","1325","90478"
"1","1","undefined","NA","1","space","728","91206"
"1","1","undefined","NA","1","n","949","92155"
"1","1","undefined","NA","1","space","471","92626"
"1","1","undefined","NA","1","n","1131","93757"
"1","1","undefined","NA","1","space","5142","98899"
"1","1","undefined","NA","1","space","4917","103816"
"1","1","undefined","NA","1","space","6418","110234"
"1","1","undefined","NA","1","space","853","111087"
"1","1","undefined","NA","1","space","407","111494"
"1","1","undefined","NA","1","space","4885","116379"
"1","1","undefined","NA","1","space","14463","130842"
"1","1","undefined","NA","1","space","9752","140594"
"1","1","undefined","NA","1","y","3259","143853"
"","","1","b","1","b","9261","159154"
"","","0","a","1","c","8140","167294"
"","","0","e","1","d","5586","172880"
"","","1","c","1","c","9542","182422"
"","","1","b","1","b","6023","188445"
"","","0","e","1","c","8781","197226"
"","","0","b","1","e","10224","207450"
"","","0","a","1","c","11306","218756"
"2","1","0","a","2","space","1424","220180"
"2","1","0","a","2","space","5197","225377"
"2","1","0","a","2","space","7913","233290"
"2","1","0","a","2","space","4531","237821"
"2","1","0","a","2","space","6992","244813"
"2","1","0","a","2","space","11733","256546"
"2","1","0","a","2","space","2133","258679"
"2","1","0","a","2","space","4948","263627"
"2","1","0","a","2","space","3618","267245"
"2","1","0","a","2","n","1897","269142"
"2","1","0","a","2","space","2581","271723"
"2","1","0","a","2","space","4084","275807"
"2","1","0","a","2","space","7980","283787"
"2","1","0","a","2","n","3305","287092"
"2","1","0","a","2","space","10929","298021"
"","","1","c","2","c","3418","305237"
"","","1","d","2","d","21936","327173"
"","","1","d","2","d","5634","332807"
"","","1","e","2","e","6851","339658"
"1","1","0","e","3","space","1035","340693"
"1","1","0","e","3","space","5506","346199"
"1","1","0","e","3","space","6111","352310"
"1","1","0","e","3","space","5649","357959"
"1","1","0","e","3","space","6752","364711"
"1","1","0","e","3","space","16633","381344"
"1","1","0","e","3","y","1706","383050"
"1","1","0","e","3","space","8405","391455"
"1","1","0","e","3","space","5280","396735"
"1","1","0","e","3","space","4159","400894"
"1","1","0","e","3","space","9026","409920"
"1","1","0","e","3","n","2074","411994"
"","","1","c","3","c","5451","418412"
"","","0","d","3","c","23229","441641"
"","","0","c","3","d","10099","451740"
"","","0","e","3","a","6445","458185"
"2","1","0","e","4","space","1499","459684"
"2","1","0","e","4","space","2626","462310"
"2","1","0","e","4","space","1762","464072"
"2","1","0","e","4","space","4152","468224"
"2","1","0","e","4","space","2869","471093"
"2","1","0","e","4","space","3699","474792"
"2","1","0","e","4","space","2787","477579"
"2","1","0","e","4","space","5108","482687"
"2","1","0","e","4","n","1499","484186"
"2","1","0","e","4","space","7474","491660"
"2","1","0","e","4","n","1931","493591"
"2","1","0","e","4","space","2130","495721"
"2","1","0","e","4","space","6673","502394"
"2","1","0","e","4","n","1595","503989"
"2","1","0","e","4","space","3849","507838"
"2","1","0","e","4","n","2533","510371"
"2","1","0","e","4","space","6352","516723"
"2","1","0","e","4","space","11263","527986"
"","","1","b","4","b","4940","535556"
"","","0","a","4","b","9473","545029"
"","","1","a","4","a","4220","549249"
"","","0","d","4","a","6736","555985"
"1","1","0","d","5","space","842","556827"
"1","1","0","d","5","space","8738","565565"
"1","1","0","d","5","space","8762","574327"
"1","1","0","d","5","space","3066","577393"
"1","1","0","d","5","space","4324","581717"
"1","1","0","d","5","n","2938","584655"
"1","1","0","d","5","space","3867","588522"
"1","1","0","d","5","space","6759","595281"
"1","1","0","d","5","n","1227","596508"
"1","1","0","d","5","space","1605","598113"
"1","1","0","d","5","space","910","599023"
"1","1","0","d","5","space","339","599362"
"1","1","0","d","5","n","1178","600540"
"","","0","b","5","a","5290","606140"
"","","0","b","5","e","5250","611390"
"","","1","c","5","c","2643","614033"
"","","0","d","5","c","4799","618832"
