"Condition_Num","booklet","correct","correct_response","passage","response","response_time"
"1","1","undefined","NA","1","space","2515"
"1","1","undefined","NA","1","space","15329"
"1","1","undefined","NA","1","space","21530"
"1","1","undefined","NA","1","n","3162"
"1","1","undefined","NA","1","space","24270"
"1","1","undefined","NA","1","n","2042"
"1","1","undefined","NA","1","space","8412"
"1","1","undefined","NA","1","space","6566"
"1","1","undefined","NA","1","space","6214"
"1","1","undefined","NA","1","space","9655"
"1","1","undefined","NA","1","space","4616"
"1","1","undefined","NA","1","space","8159"
"1","1","undefined","NA","1","space","6272"
"1","1","undefined","NA","1","space","3463"
"1","1","undefined","NA","1","space","6596"
"1","1","undefined","NA","1","space","10616"
"1","1","undefined","NA","1","space","2870"
"1","1","undefined","NA","1","space","5171"
"1","1","undefined","NA","1","space","10679"
"1","1","undefined","NA","1","space","3238"
"1","1","undefined","NA","1","space","5225"
"1","1","undefined","NA","1","y","3530"
"1","1","undefined","NA","1","space","6569"
"1","1","undefined","NA","1","space","6076"
"1","1","undefined","NA","1","y","1738"
"1","1","undefined","NA","1","space","9198"
"1","1","undefined","NA","1","n","1290"
"1","1","undefined","NA","1","space","9738"
"1","1","undefined","NA","1","n","1307"
"1","1","undefined","NA","1","space","4762"
"1","1","undefined","NA","1","space","5218"
"1","1","undefined","NA","1","space","7714"
"1","1","undefined","NA","1","space","8867"
"1","1","undefined","NA","1","space","4489"
"1","1","undefined","NA","1","space","6163"
"1","1","undefined","NA","1","space","14283"
"1","1","undefined","NA","1","space","7980"
"1","1","undefined","NA","1","n","1882"
"","","1","b","1","b","4346"
"","","1","a","1","a","5575"
"","","1","e","1","e","8568"
"","","1","c","1","c","12637"
"","","0","b","1","a","9024"
"","","1","e","1","e","7279"
"","","0","b","1","e","24224"
"","","0","a","1","e","2214"
"2","1","0","a","2","space","1596"
"2","1","0","a","2","space","9662"
"2","1","0","a","2","space","4999"
"2","1","0","a","2","space","4738"
"2","1","0","a","2","space","5890"
"2","1","0","a","2","space","2588"
"2","1","0","a","2","space","1364"
"2","1","0","a","2","space","5910"
"2","1","0","a","2","space","5237"
"2","1","0","a","2","n","2473"
"2","1","0","a","2","space","2242"
"2","1","0","a","2","space","4318"
"2","1","0","a","2","space","7960"
"2","1","0","a","2","y","1833"
"2","1","0","a","2","space","5492"
"","","1","c","2","c","4888"
"","","1","d","2","d","9599"
"","","1","d","2","d","4744"
"","","0","e","2","b","4669"
"1","1","0","e","3","space","1013"
"1","1","0","e","3","space","2146"
"1","1","0","e","3","space","4048"
"1","1","0","e","3","space","4765"
"1","1","0","e","3","space","6037"
"1","1","0","e","3","space","9239"
"1","1","0","e","3","n","1369"
"1","1","0","e","3","space","17084"
"1","1","0","e","3","space","6214"
"1","1","0","e","3","space","2291"
"1","1","0","e","3","space","2502"
"1","1","0","e","3","y","1831"
"","","0","c","3","a","5911"
"","","1","d","3","d","11060"
"","","1","c","3","c","5943"
"","","0","e","3","a","4776"
"2","1","0","e","4","space","1060"
"2","1","0","e","4","space","3062"
"2","1","0","e","4","space","1781"
"2","1","0","e","4","space","6883"
"2","1","0","e","4","space","4339"
"2","1","0","e","4","space","2678"
"2","1","0","e","4","space","1827"
"2","1","0","e","4","space","3159"
"2","1","0","e","4","n","2843"
"2","1","0","e","4","space","5460"
"2","1","0","e","4","n","1210"
"2","1","0","e","4","space","1703"
"2","1","0","e","4","space","4789"
"2","1","0","e","4","n","1081"
"2","1","0","e","4","space","3914"
"2","1","0","e","4","n","1226"
"2","1","0","e","4","space","5906"
"2","1","0","e","4","space","9034"
"","","1","b","4","b","4376"
"","","1","a","4","a","7396"
"","","0","a","4","b","5154"
"","","0","d","4","b","10020"
"1","1","0","d","5","space","1683"
"1","1","0","d","5","space","10739"
"1","1","0","d","5","space","12346"
"1","1","0","d","5","space","4994"
"1","1","0","d","5","space","6205"
"1","1","0","d","5","n","3450"
"1","1","0","d","5","space","7267"
"1","1","0","d","5","space","10921"
"1","1","0","d","5","y","1962"
"1","1","0","d","5","space","2325"
"1","1","0","d","5","space","13261"
"1","1","0","d","5","space","1566"
"1","1","0","d","5","n","1785"
"","","1","b","5","b","5897"
"","","0","b","5","c","5032"
"","","1","c","5","c","3265"
"","","0","d","5","e","13854"
"2","1","0","d","6","space","1367"
"2","1","0","d","6","space","1573"
"2","1","0","d","6","n","2459"
"2","1","0","d","6","space","4119"
"2","1","0","d","6","space","1649"
"2","1","0","d","6","space","3428"
"2","1","0","d","6","space","2143"
"2","1","0","d","6","space","2294"
"2","1","0","d","6","space","5583"
"2","1","0","d","6","n","1370"
"2","1","0","d","6","space","2740"
"2","1","0","d","6","space","1391"
"2","1","0","d","6","space","1312"
"2","1","0","d","6","space","1297"
"2","1","0","d","6","space","1427"
"2","1","0","d","6","n","1658"
"2","1","0","d","6","space","2607"
"2","1","0","d","6","space","1926"
"2","1","0","d","6","n","2538"
"2","1","0","d","6","space","2303"
"","","1","d","6","d","6184"
"","","1","c","6","c","4400"
"","","1","d","6","d","8094"
"","","1","d","6","d","8303"
"1","1","0","d","7","space","756"
"1","1","0","d","7","space","2577"
"1","1","0","d","7","space","5150"
"1","1","0","d","7","space","2289"
"1","1","0","d","7","y","2890"
"1","1","0","d","7","space","2620"
"1","1","0","d","7","space","1233"
"1","1","0","d","7","space","2351"
"1","1","0","d","7","space","4293"
"1","1","0","d","7","space","3552"
"1","1","0","d","7","space","2154"
"1","1","0","d","7","space","3250"
"1","1","0","d","7","y","1913"
"","","1","a","7","a","10395"
"","","1","a","7","a","4449"
"","","0","b","7","d","3790"
"","","1","c","7","c","2781"
"2","1","0","c","8","space","1165"
"2","1","0","c","8","space","5818"
"2","1","0","c","8","space","2030"
"2","1","0","c","8","space","1726"
"2","1","0","c","8","space","2343"
"2","1","0","c","8","space","3551"
"2","1","0","c","8","y","1818"
"2","1","0","c","8","space","5421"
"2","1","0","c","8","space","2217"
"2","1","0","c","8","n","1593"
"2","1","0","c","8","space","2719"
"2","1","0","c","8","space","2529"
"2","1","0","c","8","y","1305"
"2","1","0","c","8","space","1006"
"2","1","0","c","8","space","784"
"","","0","e","8","a","7611"
"","","1","b","8","b","5454"
"","","0","a","8","c","5262"
"","","1","e","8","e","10485"
